bc,bcm,bcode,bname,hd,mbc,oc,sca,sc,st
192.00,190.00,CE,Civil Engineering,2377 . PSG Institute Of Technology And Applied Research,190.50,192.75,178.00,171.00,131.25
,,EE,Electrical And Electronics Engineering,2748 . Surya Engineering College,,121.75,,,
90.75,,CS,Computer Science And Engineering,1126 . JNN  Institute Of Engineering,,98.75,,,
,,CE,Civil Engineering,4941 . Unnamalai Institute Of Technology,,80.75,,,
,,EE,Electrical And Electronics Engineering,5720 . Sri Subramanya College Of Engineering And Technology,,95.50,,,
,,EE,Electrical And Electronics Engineering,4961 . National College Of Engineering,,91.25,,,
92.75,108.75,CE,Civil Engineering,2654 . S V S College Of Engineering,85.25,113.25,,,
,,EE,Electrical And Electronics Engineering,5533 . KIR & Kim Technical Campus,,100.25,,,
114.00,120.25,CS,Computer Science And Engineering,1238 . Grt Institute Of Engineering And Technology,92.25,149.50,,101.25,
134.50,,EE,Electrical And Electronics Engineering,2622 . V.S.B. Engineering College,115.75,180.25,,102.25,
,,CE,Civil Engineering,2758 . J K K Munirajah College Of Technology,,104.00,,,
,,ME,Mechanical Engineering,2665 . Mahendra Institute Of Engineering And Technology,,82.75,,,
,,CE,Civil Engineering,1511 . Ranippettai Engineering College,,98.00,,,
181.75,173.25,EC,Electronics And Comm. Engineering,1516 . Thanthai Periyar Govt Institute Of Technology,180.75,187.25,154.25,170.50,156.75
174.25,157.00,EC,Electronics And Comm. Engineering,2369 . Government College Of Engineering - Dharmapuri,177.25,181.50,152.00,157.50,171.50
95.00,,CE,Civil Engineering,4952 . C.S.I. Institute Of Technology,,100.00,,,
156.00,122.50,CS,Computer Science And Engineering,1014 . University College Of Engineering- Tindivanam,158.25,167.00,84.00,141.00,
,,EE,Electrical And Electronics Engineering,5935 . Fatima Michael College Of Engineering And Technology,,99.00,,,
190.75,178.50,CS,Computer Science And Engineering,2711 . Kongu Engineering College,182.50,191.75,113.75,132.25,142.50
,,ME,Mechanical Engineering,1136 . Vedhantha Institute Of Technology,,109.50,,,
183.75,173.50,EE,Electrical And Electronics Engineering,1120 . Velammal Engineering College,176.75,186.25,,149.50,129.00
91.75,93.75,ME,Mechanical Engineering,1521 . Shri Sapthagiri Institute Of Technology,88.75,100.50,,,
,,CE,Civil Engineering,5916 . Pannai College Of Engineering And Technology,,164.50,,,
,,CS,Computer Science And Engineering,1123 . Gojan School Of Business And Technology,,85.25,,,
87.75,111.75,CS,Computer Science And Engineering,1405 . Dhanalakshmi College Of Engineering,99.00,124.75,,87.75,
,,EE,Electrical And Electronics Engineering,4941 . Unnamalai Institute Of Technology,,98.00,,,
122.50,124.00,ME,Mechanical Engineering,2729 . Nehru Institute Of Engineering And Technology,95.25,137.25,104.00,,
,,CE,Civil Engineering,2613 . K.S.R. College Of Engineering (AUT),,87.75,,,
,,EC,Electronics And Comm. Engineering,2683 . Shreenivasa Engineering College,,100.25,,,
,,CS,Computer Science And Engineering,2338 . Asian College Of Engineering And Technology,,97.00,,,
92.00,,CS,Computer Science And Engineering,2673 . Sree Sakthi Engineering College,91.25,130.50,,,
,,CS,Computer Science And Engineering,1421 . V.R.S. College Of Engineering And Technology,,81.50,,,
,,EE,Electrical And Electronics Engineering,2660 . Gnanamani College Of Engineering,,81.00,,,
90.25,,CS,Computer Science And Engineering,1409 . Karpaga Vinayaga College Of Engineering And Technology,,97.00,,,
138.25,129.00,ME,Mechanical Engineering,2723 . Velalar College Of Engineering And Technology (AUT),114.00,155.75,,138.50,
173.00,165.50,CS,Computer Science And Engineering,5904 . K.L.N.College Of Engineering,144.25,176.25,,92.50,
,,CS,Computer Science And Engineering,1524 . Annamalaiar College Of Engineering,,86.25,,,
88.75,,EE,Electrical And Electronics Engineering,1316 . Agni College Of Technology,91.25,137.00,,,
,,EC,Electronics And Comm. Engineering,1415 . T.S.M. Jain College Of Technology,,118.00,,,
,,CE,Civil Engineering,2650 . Christ The King Engineering College,,91.00,,,
,,EC,Electronics And Comm. Engineering,1301 . Mohamed Sathak A.J.College Of Engineering,,94.75,,,
189.50,179.00,EC,Electronics And Comm. Engineering,2719 . Sri Ramakrishna Engineering College (AUT),182.75,191.00,145.25,149.50,
97.00,106.50,EC,Electronics And Comm. Engineering,2601 . Adhiyamaan College Of Engineering (AUT),79.50,153.75,112.25,90.50,
141.50,142.25,ME,Mechanical Engineering,4954 . Dr.Sivanthi Aditanar College Of Engineering,118.75,153.50,,93.50,
,,CE,Civil Engineering,2683 . Shreenivasa Engineering College,,96.50,,,
191.00,189.50,EC,Electronics And Comm. Engineering,4974 . Government College Of Engineering - Tirunelveli,186.25,192.75,151.25,173.75,146.25
,,CE,Civil Engineering,2765 . Sriguru Institute Of Technology,,105.50,,,
175.50,174.50,EC,Electronics And Comm. Engineering,1013 . University College Of Engineering- Villupuram,175.00,183.25,118.00,166.75,
119.50,113.00,CS,Computer Science And Engineering,2345 . Dhirajlal Gandhi College Of Technology,122.25,151.75,,105.75,
,,EC,Electronics And Comm. Engineering,1442 . Prince Dr.K.Vasudevan College Of Engineering And Technology,,92.75,,,
161.00,152.00,CS,Computer Science And Engineering,5009 . Government College Of Engineering- Bodiyanayakkanur,158.00,172.25,129.00,148.75,
163.25,167.75,ME,Mechanical Engineering,4024 . University Voc College Of Engineering- Thoothukudi,155.25,173.00,135.75,152.00,126.75
,,CE,Civil Engineering,1434 . Surya Group Of Institutions,,116.75,,,
,,ME,Mechanical Engineering,4972 . Sun College Of Engineering And Technology,,89.75,,,
189.25,189.25,EE,Electrical And Electronics Engineering,4974 . Government College Of Engineering - Tirunelveli,183.75,191.00,176.50,175.00,143.75
,98.25,EE,Electrical And Electronics Engineering,2729 . Nehru Institute Of Engineering And Technology,,105.50,,,
,,CE,Civil Engineering,4948 . Rajas International Institute Of Technology For Women,,84.75,,,
,,CE,Civil Engineering,1430 . Maha Barathi Engineering College,,80.00,,,
88.25,,EE,Electrical And Electronics Engineering,2357 . V.S.B. College Of Engineering Technical Campus,114.75,126.75,,,
180.50,170.00,EC,Electronics And Comm. Engineering,4962 . National Engineering College (AUT),168.75,185.00,110.50,123.00,
120.00,87.25,ME,Mechanical Engineering,2342 . Sri Ranganathar Institute Of Engineering & Technology,,121.50,,,
,,CE,Civil Engineering,1421 . V.R.S. College Of Engineering And Technology,,89.25,,,
87.75,109.25,EE,Electrical And Electronics Engineering,2713 . M.P. Nachimuthu M. Jaganathan Engineering College,85.25,119.75,,,
,,EC,Electronics And Comm. Engineering,2755 . Sri Ramanathan Engineering College,,140.50,,,
,,EE,Electrical And Electronics Engineering,2732 . Info Institute Of Engineering,,119.75,,,
,,EE,Electrical And Electronics Engineering,1217 . Sree Sastha Institute Of Engineering And Technology,,136.25,,,
,,EC,Electronics And Comm. Engineering,2657 . Pavai College Of Technology,,102.75,,,
170.75,139.50,EC,Electronics And Comm. Engineering,2653 . Knowledge Institute Of Technology,159.75,178.25,136.25,138.75,109.75
145.50,129.75,ME,Mechanical Engineering,1408 . Ifet College Of Engineering,152.00,163.25,,129.75,
96.50,94.75,ME,Mechanical Engineering,5532 . Vaigai College Of Engineering,84.50,115.50,,,
180.75,177.25,EE,Electrical And Electronics Engineering,1211 . Rajalakshmi Engineering College,173.25,183.00,94.50,146.00,
106.50,,TX,Textile Technology,2607 . K.S.Rangasamy College Of Technology (AUT),114.75,138.00,,,
,,CS,Computer Science And Engineering,1526 . Sri Krishna College Of Engineering,,92.25,,,
85.50,116.00,EC,Electronics And Comm. Engineering,1412 . Mailam Engineering College,86.75,118.25,,87.75,
,,ME,Mechanical Engineering,1428 . E.S Engineering College,,79.75,,,
91.00,89.00,CS,Computer Science And Engineering,1424 . Dhaanish Ahmed College Of Engineering,,96.00,,,
,,EC,Electronics And Comm. Engineering,4987 . James College Of Engineering And Technology,,90.25,,,
,,EC,Electronics And Comm. Engineering,4975 . Dr.G.U.Pope College Of Engineering,,95.00,,,
,,CE,Civil Engineering,1411 . Madha Engineering College,,87.00,,,
180.00,162.00,CS,Computer Science And Engineering,2710 . Karpagam College Of Engineering (AUT),165.50,183.25,114.25,97.00,86.25
,,ME,Mechanical Engineering,1435 . Balaji Institute Of Engineering And Technology,,84.75,,,
92.00,129.50,ME,Mechanical Engineering,2624 . Gnanamani College Of Technology,96.00,140.00,,,
95.50,108.75,ME,Mechanical Engineering,4980 . Einstein College Of Engineering,,111.50,,,
94.75,116.25,ME,Mechanical Engineering,4669 . Thamirabharani Engineering College,,117.50,,,
,,CS,Computer Science And Engineering,5942 . Ultra College Of Engineering And Technology For Women,,86.75,,,
,,EE,Electrical And Electronics Engineering,1523 . Global Institute Of Engineering And Technology,,120.75,,,
,,CE,Civil Engineering,1517 . Thirumalai Engineering College,,127.00,,,
,,CE,Civil Engineering,5935 . Fatima Michael College Of Engineering And Technology,,86.50,,,
,,CS,Computer Science And Engineering,4966 . Pet Engineering College,,92.50,,,
,,EE,Electrical And Electronics Engineering,1322 . Dhanalakshmi Srinivasan College Of Engineering And Technology,,84.25,,,
,,EC,Electronics And Comm. Engineering,1418 . Sri Lakshmi Ammal Engineering College,,89.50,,,
112.75,,ME,Mechanical Engineering,4946 . Dmi Engineering College,85.75,136.50,103.25,,
88.75,104.75,ME,Mechanical Engineering,2621 . Er.Perumal Manimekalai College Of Engineering,82.00,141.25,,87.00,
,,CS,Computer Science And Engineering,1232 . Arm College Of Engineering And Technology,,82.50,,,
197.00,195.75,EC,Electronics And Comm. Engineering,2007 . Coimbatore Institute Of Technology (Aut),195.25,197.00,186.75,191.00,
184.00,173.50,EC,Electronics And Comm. Engineering,4023 . University College Of Engineering- Nagercoil,173.00,189.50,,157.25,
166.00,156.50,EE,Electrical And Electronics Engineering,1432 . Rajalakshmi Institute Of Technology,158.50,169.00,,130.50,
,,EE,Electrical And Electronics Engineering,4998 . Mahakavi Bharathiyar College Of Engineering And Technology,,92.50,,,
,,EE,Electrical And Electronics Engineering,1313 . SMK Fomra Institute Of Technology,,85.00,,,
,,CE,Civil Engineering,1437 . Rrase College Of Engineering,,99.50,,,
,,ME,Mechanical Engineering,2650 . Christ The King Engineering College,,89.50,,,
155.50,148.75,EC,Electronics And Comm. Engineering,1509 . Meenakshi College Of Engineering,153.25,173.00,,137.50,
121.00,147.25,CS,Computer Science And Engineering,2654 . S V S College Of Engineering,,170.25,123.00,,
,,EE,Electrical And Electronics Engineering,2642 . P.S.V.College Of Engineering And Technology,87.25,109.00,,,
103.50,109.00,CS,Computer Science And Engineering,4954 . Dr.Sivanthi Aditanar College Of Engineering,86.25,137.25,,98.25,
,88.25,EE,Electrical And Electronics Engineering,4933 . St.Mother Theresa Engineering College,,93.00,,,
,,ME,Mechanical Engineering,1323 . A.C.T. College Of Engineering And Technology,,90.50,,,
,,EE,Electrical And Electronics Engineering,4949 . PSN Institute Of Technology And Science,,107.50,,,
195.00,193.25,CE,Civil Engineering,2007 . Coimbatore Institute Of Technology (Aut),193.75,195.75,185.50,187.50,
162.00,149.75,EE,Electrical And Electronics Engineering,2739 . Sri Eshwar College Of Engineering,102.50,169.75,,,
93.00,,EC,Electronics And Comm. Engineering,2735 . Karpagam Institute Of Technology,96.50,148.00,,82.50,
185.25,173.00,ME,Mechanical Engineering,2719 . Sri Ramakrishna Engineering College (AUT),179.25,188.00,151.50,147.00,133.75
91.25,97.75,ME,Mechanical Engineering,2630 . Chettinad College Of Engineering And Technology,92.00,99.00,,,
,,EE,Electrical And Electronics Engineering,5502 . Sri Raaja Raajan College Of Engineering And Technology,,83.75,,,
,,CE,Civil Engineering,2665 . Mahendra Institute Of Engineering And Technology,,83.50,,,
,,CE,Civil Engineering,1424 . Dhaanish Ahmed College Of Engineering,,89.50,,,
97.00,,EE,Electrical And Electronics Engineering,4944 . Arunachala College Of Engineering For Women,,106.25,,,
,,ME,Mechanical Engineering,2641 . Varuvan Vadivelan Institute Of Technology,81.50,86.25,,,
,,ME,Mechanical Engineering,4931 . Chandy College Of Engineering,,91.75,,,
156.25,139.50,EE,Electrical And Electronics Engineering,4971 . St.Xavier's Catholic College Of Engineering,151.25,163.00,,,
,,EE,Electrical And Electronics Engineering,1230 . Apollo Engineering College,,93.00,,,
108.25,90.00,EE,Electrical And Electronics Engineering,1206 . Jeppiaar Maamallan Institute Of Technology,92.00,130.75,,83.00,
176.25,157.00,EC,Electronics And Comm. Engineering,5904 . K.L.N.College Of Engineering,164.50,179.00,101.50,111.00,
94.25,99.25,EC,Electronics And Comm. Engineering,2636 . A V S Engineering College,108.50,175.25,,,
120.75,,ME,Mechanical Engineering,1115 . Sriram Engineering College,100.75,138.25,,87.25,
,,EC,Electronics And Comm. Engineering,1213 . S.K.R. Engineering College,,100.50,,,
192.75,191.75,EC,Electronics And Comm. Engineering,1317 . St.Joseph's College Of Engineering,190.50,193.50,156.00,177.00,102.00
91.00,,ME,Mechanical Engineering,2704 . Coimbatore Institute Of Engineering And Technology,83.50,117.25,93.75,,
91.00,,EC,Electronics And Comm. Engineering,1405 . Dhanalakshmi College Of Engineering,81.25,108.25,92.50,87.75,
196.25,193.75,EE,Electrical And Electronics Engineering,2007 . Coimbatore Institute Of Technology (Aut),194.75,196.50,187.50,187.25,179.75
,,CE,Civil Engineering,2604 . A.S.L. Pauls College Of Engineering And Technology,,175.50,,,
190.50,190.50,IB,Industrial Bio Technology,2005 . Government College Of Technology- Coimbatore (Aut),186.25,192.50,157.75,169.50,
,,CE,Civil Engineering,1413 . Sri Venkateswaraa College Of Technology,,94.25,,,
85.50,97.00,CS,Computer Science And Engineering,2634 . Excel Engineering College,79.75,150.25,,,
85.25,,ME,Mechanical Engineering,1233 . Adhi College Of Engineering And Technology,131.75,163.75,,,
196.00,194.75,CS,Computer Science And Engineering,2005 . Government College Of Technology- Coimbatore (Aut),194.50,196.50,191.00,185.25,162.25
194.75,193.00,CS,Computer Science And Engineering,2377 . PSG Institute Of Technology And Applied Research,192.25,195.25,173.75,172.50,
,,ME,Mechanical Engineering,2649 . Karur College Of Engineering,,116.00,,,
130.50,,EC,Electronics And Comm. Engineering,1520 . Kingston Engineering College,126.75,158.25,,120.50,
,,ME,Mechanical Engineering,1141 . R.V.S. Padhmavathy College Of Engineering & Technology,,105.25,,,
159.50,122.75,CS,Computer Science And Engineering,1015 . University College Of Engineering- Arni,157.25,174.50,128.50,131.50,
120.00,141.25,CS,Computer Science And Engineering,1401 . Adhiparasakthi Engineering College,117.25,150.50,,93.00,
148.00,150.25,ME,Mechanical Engineering,5017 . University College Of Engineering- Ramanathapuram,147.00,157.50,91.50,143.50,
,,EE,Electrical And Electronics Engineering,2707 . Erode Sengunthar Engineering College,89.50,104.50,,,
,,EE,Electrical And Electronics Engineering,1428 . E.S Engineering College,,83.25,,,
,,EE,Electrical And Electronics Engineering,5988 . Theni Kammavar Sangam College Of Technology,,100.50,,,
151.25,142.25,CE,Civil Engineering,2708 . Hindusthan College Of Engineering And Technology (AUT),141.50,161.50,134.00,121.00,
118.25,137.25,CE,Civil Engineering,1408 . Ifet College Of Engineering,119.25,141.25,,93.25,
,,EC,Electronics And Comm. Engineering,2660 . Gnanamani College Of Engineering,,81.25,,,
126.25,116.25,CS,Computer Science And Engineering,1303 . Anand Institute Of Higher Technology,98.50,142.25,,87.25,
,,ME,Mechanical Engineering,1125 . PMR Engineering College,,77.75,,,
179.00,166.25,EE,Electrical And Electronics Engineering,1231 . Panimalar Institute Of Technology,174.50,182.25,,142.50,131.00
,,ME,Mechanical Engineering,4950 . Tamizhan College Of Engineering And Technology,,106.25,,,
,,CE,Civil Engineering,1123 . Gojan School Of Business And Technology,,97.50,,,
,,CS,Computer Science And Engineering,4984 . Marthandam College Of Engineering And Technology,,87.25,,,
,,ME,Mechanical Engineering,2623 . Mahendra College Of Engineering,,86.75,,,
95.25,99.25,EC,Electronics And Comm. Engineering,2652 . Al-Ameen Engineering College,,101.50,,,
85.00,,ME,Mechanical Engineering,2367 . Arjun College Of Technology,101.25,135.75,,,
93.75,119.25,EC,Electronics And Comm. Engineering,1408 . Ifet College Of Engineering,106.25,152.25,,95.25,
,,CE,Civil Engineering,2630 . Chettinad College Of Engineering And Technology,,98.75,,,
,,ME,Mechanical Engineering,2329 . Rathinam Technical Campus,,89.75,,,
,,CE,Civil Engineering,4931 . Chandy College Of Engineering,,92.25,,,
194.75,191.50,EC,Electronics And Comm. Engineering,2615 . Government College Of Engineering - Salem (AUT),193.25,195.25,189.50,187.25,170.00
,,CS,Computer Science And Engineering,2744 . Adithya Institute Of Technology,,83.50,,,
92.75,103.25,CS,Computer Science And Engineering,1212 . Rajiv Gandhi College Of Engineering,,137.00,,,
,,CS,Computer Science And Engineering,2663 . S R S College Of Engineering And Technology,,94.75,,,
,,EE,Electrical And Electronics Engineering,4966 . Pet Engineering College,,104.50,,,
,89.75,EC,Electronics And Comm. Engineering,4995 . P.S.R.Rengasamy College Of Engineering For Women,,108.25,,,
90.25,,ME,Mechanical Engineering,2683 . Shreenivasa Engineering College,82.50,113.75,,,
94.75,,CS,Computer Science And Engineering,2621 . Er.Perumal Manimekalai College Of Engineering,86.50,132.75,,77.50,
188.75,184.50,CE,Civil Engineering,5901 . A.C.College Of Engineering And Technology (AUT),187.75,190.75,159.50,178.00,
,,EE,Electrical And Electronics Engineering,5532 . Vaigai College Of Engineering,,84.50,,,
139.00,101.25,CS,Computer Science And Engineering,1206 . Jeppiaar Maamallan Institute Of Technology,125.50,155.25,,92.25,
,,ME,Mechanical Engineering,2771 . Dr.Nallini Institute Of Engineering And Technology,,110.50,,,
,,EE,Electrical And Electronics Engineering,2705 . CSI College Of Engineering,,90.75,,,
131.50,,CE,Civil Engineering,2723 . Velalar College Of Engineering And Technology (AUT),114.50,148.75,,128.50,
,,ME,Mechanical Engineering,2606 . Jayam College Of Engineering And Technology,,84.75,,,
,,EE,Electrical And Electronics Engineering,1508 . Arunai College Of Engineering,,99.50,,,
,,CE,Civil Engineering,4994 . J P College Of Engineering,,86.50,,,
88.00,,CS,Computer Science And Engineering,2733 . Angel College Of Engineering And Technology,90.00,123.75,,,
90.50,95.75,EE,Electrical And Electronics Engineering,4670 . Rohini College Of Engineering And Technology,84.00,117.50,,,
85.25,,ME,Mechanical Engineering,2755 . Nehru Institute Of Technology,84.00,99.50,,,
,,EC,Electronics And Comm. Engineering,2776 . RVS Technical Campus - Coimbatore,,92.00,,,
,,CE,Civil Engineering,1503 . Arulmigu Meenakshi Amman College Of Engineering,,80.25,,,
197.25,197.00,CE,Civil Engineering,2006 . P.S.G. College Of Technology (Aut),195.25,197.50,189.25,191.25,
,,EC,Electronics And Comm. Engineering,2617 . Sengunthar Engineering College,,96.00,,,
105.00,96.00,ME,Mechanical Engineering,2653 . Knowledge Institute Of Technology,135.50,152.00,,96.75,
,,CE,Civil Engineering,2627 . Selvam College Of Technology,,106.25,,,
179.00,181.00,CE,Civil Engineering,5986 . Velammal College Of Engineering And Technology,165.25,182.00,,126.75,
,,CS,Computer Science And Engineering,1511 . Ranippettai Engineering College,,80.25,,,
,,CE,Civil Engineering,2769 . J C T College Of Engineering And Technology,,97.00,,,
178.25,174.25,CS,Computer Science And Engineering,5910 . PSNA College Of Engineering And Technology,161.50,181.75,111.75,98.50,
99.25,,CS,Computer Science And Engineering,4946 . Dmi Engineering College,105.25,117.75,,,
93.25,102.50,ME,Mechanical Engineering,5703 . Christian College Of Engineering And Technology,84.25,103.75,,,
172.00,149.75,EE,Electrical And Electronics Engineering,4678 . Ramco Institute Of Technology,161.25,177.00,,148.25,
115.00,98.00,ME,Mechanical Engineering,2328 . K S R Institute For Engineering And Technology,114.25,148.00,,,
170.50,167.00,EE,Electrical And Electronics Engineering,1026 . University College Of Engineering- Kanchipuram,169.75,178.00,146.00,160.00,
,,CE,Civil Engineering,2606 . Jayam College Of Engineering And Technology,,86.00,,,
92.25,119.50,CS,Computer Science And Engineering,1431 . New Prince Shri Bhavani College Of Engineering And Technology,89.75,123.00,,,
89.50,104.75,EC,Electronics And Comm. Engineering,1505 . C.Abdul Hakeem College Of Engineering And Technology,82.50,146.00,,90.50,
106.75,122.50,CS,Computer Science And Engineering,2715 . Nandha Engineering College (AUT),97.00,141.00,,,
157.00,151.00,EE,Electrical And Electronics Engineering,1216 . Saveetha Engineering College,148.75,163.50,,128.75,
,,EC,Electronics And Comm. Engineering,2337 . Vidhya Mandhir Institute Of Technology,,133.25,,,
,,ME,Mechanical Engineering,1514 . Sri Nandhanam College Of Engineering And Technology,,113.25,,,
106.00,101.75,ME,Mechanical Engineering,4982 . Vins Christian College Of Engineering,85.75,126.25,,125.25,
169.75,165.50,CE,Civil Engineering,4678 . Ramco Institute Of Technology,161.25,178.25,,123.75,
,,CE,Civil Engineering,2327 . N.S.N. College Of Engineering And Technology,,91.50,,,
188.75,170.75,EC,Electronics And Comm. Engineering,2702 . Bannari Amman Institute Of Technology (AUT),183.00,190.25,113.75,130.75,
85.50,107.00,EC,Electronics And Comm. Engineering,4957 . Jayaraj Annapackiam CSI College Of Engineering,81.50,112.50,,,
,,EC,Electronics And Comm. Engineering,1437 . Rrase College Of Engineering,,119.50,,,
120.75,123.25,CE,Civil Engineering,4917 . Sethu Institute Of Technology (AUT),96.00,136.50,,100.00,
,,EE,Electrical And Electronics Engineering,1229 . Indira Institute Of Engineering And Technology,,113.50,,,
,,CS,Computer Science And Engineering,4953 . Cape Institute Of Technology,,100.50,,,
180.50,170.25,CE,Civil Engineering,2719 . Sri Ramakrishna Engineering College (AUT),177.25,185.00,100.00,146.25,
146.00,,EE,Electrical And Electronics Engineering,1233 . Adhi College Of Engineering And Technology,83.25,153.25,,,
,,EE,Electrical And Electronics Engineering,4945 . Vins Christian Women's College Of Engineering,,88.00,,,
105.50,101.00,CE,Civil Engineering,2725 . Sri Ramakrishna Institute Of Technology,79.25,133.75,,96.50,
104.00,,CS,Computer Science And Engineering,2327 . N.S.N. College Of Engineering And Technology,113.00,116.50,,,
,,CE,Civil Engineering,2745 . Kathir College Of Engineering,,98.75,,,
,,CS,Computer Science And Engineering,1417 . Shri Andal Alagar College Of Engineering,,83.25,,,
,,CE,Civil Engineering,1428 . E.S Engineering College,,121.00,,,
,,CS,Computer Science And Engineering,1517 . Thirumalai Engineering College,,89.25,,,
,,ME,Mechanical Engineering,2717 . Sasurie College Of Engineering,,89.25,,,
,,CE,Civil Engineering,2761 . United Institute Of Technology,,99.25,,,
,,ME,Mechanical Engineering,1441 . A.K.T. Memorial College Of Engineering And Technology,,88.75,,,
,,EE,Electrical And Electronics Engineering,5832 . N P R College Of Engineering And Technology,,99.00,,,
94.00,,ME,Mechanical Engineering,1238 . Grt Institute Of Engineering And Technology,86.75,116.25,,93.75,
103.25,,CS,Computer Science And Engineering,4934 . Holy Cross Engineering College,83.00,124.00,,,
85.50,,CE,Civil Engineering,4864 . Narayanaguru Siddhartha College Of Engineering,108.75,111.50,,,
186.50,184.50,EC,Electronics And Comm. Engineering,2603 . Government College Of Engineering - Bargur,184.50,190.00,175.75,166.25,
138.25,115.00,ME,Mechanical Engineering,2727 . Sri Shakthi Institute Of Engineering And Technology,98.25,156.00,,91.00,
134.50,127.00,EE,Electrical And Electronics Engineering,1122 . Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College,103.00,145.00,98.50,,
,,CE,Civil Engineering,4938 . Sivaji College Of Engineering And Technology,,91.50,,,
,,ME,Mechanical Engineering,2327 . N.S.N. College Of Engineering And Technology,,86.75,,,
151.50,170.75,EC,Electronics And Comm. Engineering,4954 . Dr.Sivanthi Aditanar College Of Engineering,120.50,172.50,,125.50,
178.00,171.75,CE,Civil Engineering,2709 . Institute Of Road And Transport Technology,176.50,181.50,125.50,157.50,148.25
,,CE,Civil Engineering,2362 . Hosur Institute Of Technology And Science,,90.25,,,
186.50,185.75,EE,Electrical And Electronics Engineering,1450 . Loyola - Icam College Of Engineering And Technology,176.00,189.25,127.50,160.50,
128.25,125.25,ME,Mechanical Engineering,1303 . Anand Institute Of Higher Technology,125.00,144.25,,96.50,
196.50,195.00,EC,Electronics And Comm. Engineering,5008 . Thiagarajar College Of Engineering (AUT),195.00,197.25,190.50,191.50,169.25
,,CE,Civil Engineering,2704 . Coimbatore Institute Of Engineering And Technology,,90.50,,,
,,EC,Electronics And Comm. Engineering,4927 . Maria College Of Engineering And Technology,,113.75,,,
,,EE,Electrical And Electronics Engineering,2769 . J C T College Of Engineering And Technology,,103.75,,,
,,XC,Civil Engineering (Tm),1014 . University College Of Engineering- Tindivanam,,84.50,,,
91.00,100.25,CE,Civil Engineering,1233 . Adhi College Of Engineering And Technology,117.75,118.00,,,
88.75,,EC,Electronics And Comm. Engineering,2623 . Mahendra College Of Engineering,88.75,107.00,,,
179.00,155.00,EE,Electrical And Electronics Engineering,2710 . Karpagam College Of Engineering (AUT),167.00,181.50,,83.50,120.25
,,EE,Electrical And Electronics Engineering,1519 . Bharathidasan Engineering College,,88.25,,,
,,CS,Computer Science And Engineering,2349 . Dhaanish Ahmed Institute Of Technology,,97.00,,,
,,EC,Electronics And Comm. Engineering,4994 . J P College Of Engineering,,78.00,,,
,,EC,Electronics And Comm. Engineering,5536 . Mangayarkarasi College Of Engineering,,106.75,,,
,,EC,Electronics And Comm. Engineering,1435 . Balaji Institute Of Engineering And Technology,,134.25,,,
148.00,,EC,Electronics And Comm. Engineering,2622 . V.S.B. Engineering College,128.00,180.00,143.00,130.50,
,,ME,Mechanical Engineering,4978 . Udaya School Of Engineering,,96.75,,,
,,CE,Civil Engineering,1436 . A.R. Engineering College,,88.50,,,
,,ME,Mechanical Engineering,1436 . A.R. Engineering College,,79.50,,,
,,EE,Electrical And Electronics Engineering,4669 . Thamirabharani Engineering College,,106.25,,,
90.25,,EE,Electrical And Electronics Engineering,2354 . Pollachi Institute Of Engineering And Technology,,91.50,,,
,,CE,Civil Engineering,5922 . Vickram College Of Engineering,,86.50,,,
,,ME,Mechanical Engineering,1413 . Sri Venkateswaraa College Of Technology,,103.25,,,
90.50,,CS,Computer Science And Engineering,2749 . Easa College Of Engineering And Technology,,95.25,,,
123.00,103.00,EC,Electronics And Comm. Engineering,2751 . KGISL Institute Of Technology,99.25,147.00,,130.25,
181.75,173.00,CE,Civil Engineering,1113 . R.M.K. Engineering College,179.00,187.00,130.75,157.50,122.75
,,CE,Civil Engineering,4998 . Mahakavi Bharathiyar College Of Engineering And Technology,,89.75,,,
,,EC,Electronics And Comm. Engineering,2738 . Sasurie Academy Of Engineering,,108.25,,,
,,ME,Mechanical Engineering,2753 . PPG Institute Of Technology,,88.25,,,
115.25,139.25,CS,Computer Science And Engineering,1301 . Mohamed Sathak A.J.College Of Engineering,94.25,142.50,,77.75,
91.50,89.75,CS,Computer Science And Engineering,5930 . SBM College Of Engineering And Technology,93.25,123.50,,,
102.75,,CE,Civil Engineering,5902 . Bharath Niketan Engineering College,79.00,110.50,,,
,,ME,Mechanical Engineering,2614 . S.S.M. College Of Engineering,,92.25,,,
,,EE,Electrical And Electronics Engineering,2682 . Professional Group Of Institutions,,84.75,,,
125.75,115.00,ME,Mechanical Engineering,1520 . Kingston Engineering College,119.00,151.50,,93.75,
,,EE,Electrical And Electronics Engineering,2772 . C M S College Of Engineering And Technology,,83.00,,,
177.50,161.00,EC,Electronics And Comm. Engineering,1237 . Velammal Institute Of Technology,171.25,181.75,,144.75,135.50
,,CE,Civil Engineering,5532 . Vaigai College Of Engineering,,91.50,,,
,,CE,Civil Engineering,5536 . Mangayarkarasi College Of Engineering,,90.50,,,
,,EC,Electronics And Comm. Engineering,4948 . Rajas International Institute Of Technology For Women,,88.25,,,
93.25,,TX,Textile Technology,1106 . Jaya Engineering College,,115.00,,98.50,
,,CS,Computer Science And Engineering,5851 . Veerammal Engineering College,,110.50,,,
