bc,bcm,bcode,bname,hd,mbc,oc,sca,sc,st
90.25,,EC,Electronics And Comm. Engineering,4979 . V.P.Muthaiah Pillai Meenakshi Ammal Engineering College For Women,93.00,103.25,,,
,,ME,Mechanical Engineering,2744 . Adithya Institute Of Technology,85.75,89.00,,84.50,
,,ME,Mechanical Engineering,1121 . Sri Venkateswara Institute Of Science And Technology,,81.75,,,
,,CS,Computer Science And Engineering,2606 . Jayam College Of Engineering And Technology,,81.25,,,
,,ME,Mechanical Engineering,5540 . Aringer Anna College Of Engineering And Technology,,110.00,,,
,,EC,Electronics And Comm. Engineering,1525 . Podhigai College Of Engineering And Technology,,145.50,,,
94.75,,ME,Mechanical Engineering,2651 . Jay Shriram Group Of Institutions,96.25,97.50,,,
,,CS,Computer Science And Engineering,1443 . Lord Ayyappa Institute Of Engineering And Technology,,97.75,,,
85.25,,ME,Mechanical Engineering,4994 . J P College Of Engineering,,88.50,,,
86.00,,CE,Civil Engineering,5720 . Sri Subramanya College Of Engineering And Technology,85.50,93.00,81.25,,
194.25,192.25,IM,Information Technology(SS),5008 . Thiagarajar College Of Engineering (AUT),190.75,194.75,170.00,174.50,170.25
178.25,176.00,EC,Electronics And Comm. Engineering,4024 . University Voc College Of Engineering- Thoothukudi,155.50,185.25,,134.50,104.75
114.50,96.75,EE,Electrical And Electronics Engineering,4965 . P.S.R Engineering College (AUT),120.50,136.50,,78.75,
97.00,95.75,EE,Electrical And Electronics Engineering,1412 . Mailam Engineering College,84.50,108.25,80.00,,
190.75,183.50,EE,Electrical And Electronics Engineering,2718 . Sri Krishna College Of Engineering & Technology (AUT),186.25,192.00,151.50,157.00,151.50
,,CE,Civil Engineering,4933 . St.Mother Theresa Engineering College,,89.25,,,
,,CS,Computer Science And Engineering,1435 . Balaji Institute Of Engineering And Technology,,80.50,,,
,,ME,Mechanical Engineering,5535 . Vpv College Of Engineering,,91.50,,,
,,EE,Electrical And Electronics Engineering,2761 . United Institute Of Technology,,110.50,,,
96.25,114.50,ME,Mechanical Engineering,2713 . M.P. Nachimuthu M. Jaganathan Engineering College,80.50,120.00,,,
,,EE,Electrical And Electronics Engineering,1115 . Sriram Engineering College,,127.00,,,
,,EC,Electronics And Comm. Engineering,4992 . Bethlahem Institute Of Engineering,,101.00,,,
172.50,157.00,EC,Electronics And Comm. Engineering,1432 . Rajalakshmi Institute Of Technology,164.25,177.25,,130.00,
196.50,194.50,EC,Electronics And Comm. Engineering,1315 . Sri Sivasubramaniya Nadar College Of Engineering,194.50,196.75,173.25,188.50,172.00
,,CE,Civil Engineering,1222 . P.B. College Of Engineering,,109.25,,,
,,CS,Computer Science And Engineering,1205 . Lord Venkateshwaraa Engineering College,,158.25,,,
,,XC,Civil Engineering (Tm),4023 . University College Of Engineering- Nagercoil,,89.50,,,
86.25,,EC,Electronics And Comm. Engineering,2314 . Muthayammal College Of Engineering,86.50,115.50,,,
139.50,161.25,CS,Computer Science And Engineering,1325 . ST.Joseph College Of Engineering,121.00,176.00,,114.00,
129.75,118.00,CS,Computer Science And Engineering,5903 . K.L.N.College Of Information Technology,95.50,147.00,,93.00,
165.00,155.75,ME,Mechanical Engineering,2708 . Hindusthan College Of Engineering And Technology (AUT),160.50,171.25,148.50,127.75,
,,EE,Electrical And Electronics Engineering,1418 . Sri Lakshmi Ammal Engineering College,,84.75,,,
,,CS,Computer Science And Engineering,4980 . Einstein College Of Engineering,,87.75,,,
,,CE,Civil Engineering,4934 . Holy Cross Engineering College,,94.00,,,
196.75,195.25,IM,Information Technology(SS),2006 . P.S.G. College Of Technology (Aut),194.00,197.25,175.75,183.75,155.00
167.50,140.75,CS,Computer Science And Engineering,2607 . K.S.Rangasamy College Of Technology (AUT),162.50,173.75,136.50,97.25,
89.00,90.50,CS,Computer Science And Engineering,1408 . Ifet College Of Engineering,78.75,131.00,,93.50,
101.25,127.00,CS,Computer Science And Engineering,1101 . Aalim Muhammed Salegh College Of Engineering,77.75,128.75,,93.25,
125.00,126.50,EE,Electrical And Electronics Engineering,4954 . Dr.Sivanthi Aditanar College Of Engineering,94.50,138.25,,,
,,EC,Electronics And Comm. Engineering,2629 . Sengunthar College Of Engineering,,103.00,,,
104.25,103.75,ME,Mechanical Engineering,2628 . Paavai College Of Engineering,107.00,132.50,,,
,,EE,Electrical And Electronics Engineering,1241 . T.J.S. Engineering College,,104.50,,,
113.75,100.00,CS,Computer Science And Engineering,2661 . Vivekanandha College Of Technology For Women,99.50,136.50,,,
88.75,,CS,Computer Science And Engineering,2731 . R V S College Of Engineering And Technology,100.00,128.75,,,
,,CE,Civil Engineering,2354 . Pollachi Institute Of Engineering And Technology,,88.00,,,
88.25,91.00,CS,Computer Science And Engineering,1412 . Mailam Engineering College,78.75,113.25,81.00,,
195.00,195.00,CE,Civil Engineering,1315 . Sri Sivasubramaniya Nadar College Of Engineering,192.50,195.75,172.25,183.00,
88.50,107.50,CS,Computer Science And Engineering,4944 . Arunachala College Of Engineering For Women,114.50,118.50,,,
108.25,115.00,ME,Mechanical Engineering,2611 . Paavai Engineering College (AUT),110.50,140.50,,95.00,
,,CE,Civil Engineering,2733 . Angel College Of Engineering And Technology,,90.50,,,
,,CE,Civil Engineering,2342 . Sri Ranganathar Institute Of Engineering & Technology,,110.50,,,
,,EC,Electronics And Comm. Engineering,1214 . Sakthi Mariamman Engineering College,,88.75,,,
89.00,,ME,Mechanical Engineering,4675 . Universal College Of Engineering & Technology,84.75,112.75,,,
146.75,131.75,CS,Computer Science And Engineering,2716 . Park College Of Engineering And Technology,104.25,154.25,,,
100.00,,CS,Computer Science And Engineering,4676 . Renganayagi Varatharaj College Of Engineering,100.75,164.50,,,
,,CS,Computer Science And Engineering,1125 . PMR Engineering College,,94.25,,,
177.75,159.25,CE,Civil Engineering,4023 . University College Of Engineering- Nagercoil,142.00,181.75,113.00,142.75,
,,ME,Mechanical Engineering,4941 . Unnamalai Institute Of Technology,,81.00,,,
,,CS,Computer Science And Engineering,4677 . Lourdes Mount College Of Engineering And Technology,,107.00,,,
,,EC,Electronics And Comm. Engineering,2355 . Cheran College Of Engineering,,95.75,,,
,,EE,Electrical And Electronics Engineering,5907 . Mohamed Sathak Engineering College,,112.00,,,
,,ME,Mechanical Engineering,1448 . Sri Ramana Maharishi College Of Engineering,,148.00,,,
94.25,,EE,Electrical And Electronics Engineering,1518 . Thiruvalluvar College Of Engineering And Technology,,105.50,,,
,91.00,ME,Mechanical Engineering,4961 . National College Of Engineering,,96.50,,,
